evm.model.hic_scaffold_1_pilon.1123,PREDICTED: uncharacterized protein LOC108558520
evm.model.hic_scaffold_1_pilon.541,hypothetical protein
evm.model.hic_scaffold_1_pilon.540,Nucleolar pre-ribosomal-associated protein 1
evm.model.hic_scaffold_1_pilon.543,PREDICTED: uncharacterized protein LOC108563814
evm.model.hic_scaffold_1_pilon.542,Protein phosphatase PTC7 homolog
evm.model.hic_scaffold_1_pilon.545,Broad-complex core protein isoforms 1/2/3/4/5
evm.model.hic_scaffold_1_pilon.544,PREDICTED: uncharacterized protein LOC108563744 isoform X1
evm.model.hic_scaffold_1_pilon.547,PREDICTED: uncharacterized protein LOC108558876
evm.model.hic_scaffold_1_pilon.546,Broad-complex core protein isoforms 1/2/3/4/5
evm.model.hic_scaffold_1_pilon.549,hypothetical protein
evm.model.hic_scaffold_1_pilon.548,hypothetical protein
evm.model.hic_scaffold_1_pilon.899,PREDICTED: uncharacterized protein LOC107072109
evm.model.hic_scaffold_1_pilon.898,Ig-like and fibronectin type-III domain-containing protein 2
evm.model.hic_scaffold_1_pilon.329,RutC family protein UK114
evm.model.hic_scaffold_1_pilon.328,Amyloid protein-binding protein 2
evm.model.hic_scaffold_1_pilon.325,NAD kinase
evm.model.hic_scaffold_1_pilon.324,Protein LSM14 homolog A-A
evm.model.hic_scaffold_1_pilon.327,hypothetical protein
evm.model.hic_scaffold_1_pilon.326,Activating signal cointegrator 1 complex subunit 2
evm.model.hic_scaffold_1_pilon.321,U6 snRNA-associated Sm-like protein LSm3
evm.model.hic_scaffold_1_pilon.320,Pre-mRNA-splicing regulator female-lethal(2)D
evm.model.hic_scaffold_1_pilon.323,GMP synthase [glutamine-hydrolyzing]
evm.model.hic_scaffold_1_pilon.322,SET domain-containing protein SmydA-8, isoform B
evm.model.hic_scaffold_1_pilon.152,PREDICTED: transcription factor hamlet-like
evm.model.hic_scaffold_1_pilon.153,hypothetical protein
evm.model.hic_scaffold_1_pilon.150,hypothetical protein
evm.model.hic_scaffold_1_pilon.151,PREDICTED: glutamate receptor 2-like, partial
evm.model.hic_scaffold_1_pilon.156,Xaa-Pro dipeptidase
evm.model.hic_scaffold_1_pilon.157,hypothetical protein
evm.model.hic_scaffold_1_pilon.154,Rap1 GTPase-activating protein 1
evm.model.hic_scaffold_1_pilon.155,hypothetical protein
evm.model.hic_scaffold_1_pilon.158,Nucleolar complex protein 2 homolog
evm.model.hic_scaffold_1_pilon.159,PREDICTED: uncharacterized protein LOC108556823, partial
evm.model.hic_scaffold_1_pilon.564,N-sulphoglucosamine sulphohydrolase
evm.model.hic_scaffold_1_pilon.1165,Enoyl-CoA hydratase domain-containing protein 3, mitochondrial
evm.model.hic_scaffold_1_pilon.1164,hypothetical protein
evm.model.hic_scaffold_1_pilon.1161,PREDICTED: uncharacterized protein LOC108558095
evm.model.hic_scaffold_1_pilon.1160,hypothetical protein
evm.model.hic_scaffold_1_pilon.1163,U5 small nuclear ribonucleoprotein 40 kDa protein
evm.model.hic_scaffold_1_pilon.1162,Dyslexia-associated protein KIAA0319-like protein
evm.model.hic_scaffold_1_pilon.1168,40S ribosomal protein SA
evm.model.hic_scaffold_1_pilon.773,hypothetical protein
evm.model.hic_scaffold_1_pilon.775,Monocyte to macrophage differentiation factor 2
evm.model.hic_scaffold_1_pilon.240,Roundabout homolog 1
evm.model.hic_scaffold_1_pilon.529,Diphthine methyltransferase
evm.model.hic_scaffold_1_pilon.528,Exocyst complex component 7
evm.model.hic_scaffold_1_pilon.523,PREDICTED: serine/threonine-protein kinase S6KL-like isoform X2
evm.model.hic_scaffold_1_pilon.522,Cationic amino acid transporter 4
evm.model.hic_scaffold_1_pilon.521,hypothetical protein
evm.model.hic_scaffold_1_pilon.520,Acetyl-coenzyme A transporter 1
evm.model.hic_scaffold_1_pilon.527,Rab GTPase-binding effector protein 2
evm.model.hic_scaffold_1_pilon.526,Serine/threonine-protein kinase S6KL
evm.model.hic_scaffold_1_pilon.525,Autophagy-related protein 101
evm.model.hic_scaffold_1_pilon.524,hypothetical protein
evm.model.hic_scaffold_1_pilon.738,Ras-related protein Rab-40C
evm.model.hic_scaffold_1_pilon.735,Protein Gawky
evm.model.hic_scaffold_1_pilon.732,Peptidyl-tRNA hydrolase ICT1, mitochondrial
evm.model.hic_scaffold_1_pilon.733,hypothetical protein
evm.model.hic_scaffold_1_pilon.730,ATP-dependent DNA/RNA helicase DHX36
evm.model.hic_scaffold_1_pilon.98,Oxidoreductase-like domain-containing protein 1
evm.model.hic_scaffold_1_pilon.99,Galactokinase
evm.model.hic_scaffold_1_pilon.94,hypothetical protein
evm.model.hic_scaffold_1_pilon.95,Xaa-Pro dipeptidase
evm.model.hic_scaffold_1_pilon.96,PREDICTED: uncharacterized protein LOC108562186
evm.model.hic_scaffold_1_pilon.97,coiled-coil domain-containing protein 137-like
evm.model.hic_scaffold_1_pilon.90,PREDICTED: uncharacterized protein LOC108561010
evm.model.hic_scaffold_1_pilon.92,PREDICTED: RB1-inducible coiled-coil protein 1-like isoform X1
evm.model.hic_scaffold_1_pilon.93,Integrin alpha-PS1
evm.model.hic_scaffold_1_pilon.505,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC100142107
evm.model.hic_scaffold_1_pilon.504,Adenosine deaminase 2
evm.model.hic_scaffold_1_pilon.507,hypothetical protein
evm.model.hic_scaffold_1_pilon.506,CCR4-NOT transcription complex subunit 7
evm.model.hic_scaffold_1_pilon.501,PREDICTED: uncharacterized protein LOC664222 isoform X3
evm.model.hic_scaffold_1_pilon.500,hypothetical protein
evm.model.hic_scaffold_1_pilon.503,Protein amalgam
evm.model.hic_scaffold_1_pilon.502,hypothetical protein
evm.model.hic_scaffold_1_pilon.509,Sesquipedalian-1
evm.model.hic_scaffold_1_pilon.508,hypothetical protein
evm.model.hic_scaffold_1_pilon.897,Sialin
evm.model.hic_scaffold_1_pilon.896,Graves disease carrier protein
evm.model.hic_scaffold_1_pilon.893,hypothetical protein
evm.model.hic_scaffold_1_pilon.892,Protein split ends
evm.model.hic_scaffold_1_pilon.891,Protein split ends
evm.model.hic_scaffold_1_pilon.890,Toll-like receptor Tollo
evm.model.hic_scaffold_1_pilon.895,hypothetical protein
evm.model.hic_scaffold_1_pilon.894,PREDICTED: transcription and mRNA export factor SUS1-like
evm.model.hic_scaffold_1_pilon.343,Bifunctional coenzyme A synthase
evm.model.hic_scaffold_1_pilon.1032,Lig chan domain containing protein
evm.model.hic_scaffold_1_pilon.8,tRNA (uracil-5-)-methyltransferase homolog A
evm.model.hic_scaffold_1_pilon.9,hypothetical protein TcasGA2_TC006373
evm.model.hic_scaffold_1_pilon.268,PREDICTED: uncharacterized protein LOC108568551
evm.model.hic_scaffold_1_pilon.269,hypothetical protein
evm.model.hic_scaffold_1_pilon.264,Peptidyl-prolyl cis-trans isomerase-like 4
evm.model.hic_scaffold_1_pilon.265,PREDICTED: prohormone-2-like
evm.model.hic_scaffold_1_pilon.266,B-cell lymphoma 3 protein homolog
evm.model.hic_scaffold_1_pilon.267,PREDICTED: uncharacterized protein LOC108568551
evm.model.hic_scaffold_1_pilon.260,Intraflagellar transport protein 56
evm.model.hic_scaffold_1_pilon.261,Cytokine-inducible SH2-containing protein
evm.model.hic_scaffold_1_pilon.262,General transcription factor 3C polypeptide 1
evm.model.hic_scaffold_1_pilon.263,SUN domain-containing protein 1
evm.model.hic_scaffold_1_pilon.76,PREDICTED: uncharacterized protein LOC108557777 isoform X4
evm.model.hic_scaffold_1_pilon.77,GATA-binding factor A
evm.model.hic_scaffold_1_pilon.74,zinc-finger associated domain containing protein
evm.model.hic_scaffold_1_pilon.75,PREDICTED: chondroadherin-like protein
evm.model.hic_scaffold_1_pilon.72,Ubiquitin carboxyl-terminal hydrolase 16
evm.model.hic_scaffold_1_pilon.73,Transcription factor AP-1
evm.model.hic_scaffold_1_pilon.70,uncharacterized protein LOC108737474
evm.model.hic_scaffold_1_pilon.71,Ubiquitin carboxyl-terminal hydrolase 16
evm.model.hic_scaffold_1_pilon.78,Macoilin
evm.model.hic_scaffold_1_pilon.79,THO complex subunit 1
evm.model.hic_scaffold_1_pilon.1082,Retrovirus-related Pol polyprotein from type-1 retrotransposable element R1 (Fragment)
evm.model.hic_scaffold_1_pilon.1083,uncharacterized protein LOC113557683
evm.model.hic_scaffold_1_pilon.1080,uncharacterized protein LOC112211183
evm.model.hic_scaffold_1_pilon.1081,hypothetical protein
evm.model.hic_scaffold_1_pilon.1086,PREDICTED: uncharacterized protein LOC109534668
evm.model.hic_scaffold_1_pilon.1087,Probable RNA-directed DNA polymerase from transposon BS
evm.model.hic_scaffold_1_pilon.1084,hypothetical protein RP20_CCG013076
evm.model.hic_scaffold_1_pilon.1085,hypothetical protein
evm.model.hic_scaffold_1_pilon.1088,hypothetical protein
evm.model.hic_scaffold_1_pilon.1089,hypothetical protein
evm.model.hic_scaffold_1_pilon.737,Glucose-induced degradation protein 4 homolog
evm.model.hic_scaffold_1_pilon.734,hypothetical protein
evm.model.hic_scaffold_1_pilon.389,Coiled-coil domain-containing protein 96
evm.model.hic_scaffold_1_pilon.388,Putative inorganic phosphate cotransporter
evm.model.hic_scaffold_1_pilon.383,28S ribosomal protein S7, mitochondrial
evm.model.hic_scaffold_1_pilon.382,GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase
evm.model.hic_scaffold_1_pilon.381,DNA-directed RNA polymerase III subunit RPC9
evm.model.hic_scaffold_1_pilon.380,Density-regulated protein homolog
evm.model.hic_scaffold_1_pilon.387,Sentrin-specific protease 8
evm.model.hic_scaffold_1_pilon.386,RAD50-interacting protein 1
evm.model.hic_scaffold_1_pilon.385,Dual specificity mitogen-activated protein kinase kinase 4
evm.model.hic_scaffold_1_pilon.384,Actin-interacting protein 1
evm.model.hic_scaffold_1_pilon.929,Inositol-3-phosphate synthase 1-A
evm.model.hic_scaffold_1_pilon.928,Inositol-3-phosphate synthase
evm.model.hic_scaffold_1_pilon.927,Protein tramtrack, beta isoform
evm.model.hic_scaffold_1_pilon.926,zinc finger protein
evm.model.hic_scaffold_1_pilon.925,Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial
evm.model.hic_scaffold_1_pilon.924,Cytochrome P450 9e2
evm.model.hic_scaffold_1_pilon.923,Sodium-independent sulfate anion transporter
evm.model.hic_scaffold_1_pilon.922,hypothetical protein
evm.model.hic_scaffold_1_pilon.921,Dehydrogenase/reductase SDR family member 13
evm.model.hic_scaffold_1_pilon.920,Aldehyde dehydrogenase family 3 member B2
evm.model.hic_scaffold_1_pilon.867,Retinol dehydrogenase 11
evm.model.hic_scaffold_1_pilon.864,Protein Dok-7
evm.model.hic_scaffold_1_pilon.714,hypothetical protein
evm.model.hic_scaffold_1_pilon.715,Xaa-Pro dipeptidase
evm.model.hic_scaffold_1_pilon.716,hypothetical protein
evm.model.hic_scaffold_1_pilon.245,F-box/LRR-repeat protein 4
evm.model.hic_scaffold_1_pilon.710,Protein deltex
evm.model.hic_scaffold_1_pilon.711,Cytidine deaminase
evm.model.hic_scaffold_1_pilon.712,V-type proton ATPase subunit H
evm.model.hic_scaffold_1_pilon.713,hypothetical protein
evm.model.hic_scaffold_1_pilon.718,uncharacterized protein LOC108743500
evm.model.hic_scaffold_1_pilon.719,PREDICTED: uncharacterized protein LOC108558124
evm.model.hic_scaffold_1_pilon.248,Histone acetyltransferase KAT6B
evm.model.hic_scaffold_1_pilon.249,Probable ATP-dependent RNA helicase DDX47
